ASIN 或商品=["B0DHPN1DMJ"],报告范围=["每月"],选择年份=["2025"],选择月份=["12 月"]
搜索查询,搜索查询得分,搜索查询量,曝光：曝光总量,"曝光量：ASIN 计数","曝光：ASIN 曝光占比 %",点击量：总次数,"点击量：点击率 %","点击量：ASIN 数量","点击量：ASIN 份额 %","点击量：价格(中位数)","点击量：ASIN 售价（中位数）",点击量：当日达配送速度,"点击量：1 天配送速度",点击：2天配送速度,购物车添加：总数,"加入购物车：加购率%","加购：ASIN 数量","加入购物车：ASIN 加购占比 %",加入购物车：售价（中位数）,"加入购物车：ASIN 价格（中位数）",购物车添加：当日达配送速度,"加入购物车：1 天配送速度","购物车添加：2 天配送速度",购买：下单总数,"下单成交：成交转化率%","下单成交：ASIN 数量","下单: ASIN 占比 %",购买次数：价格（中位数）,"购买：ASIN 价格（中位数）",下单成交：当日达配送速度,"下单成交：1 天配送速度",下单：2天配送速度,报告日期
"ikarao portable karaoke machine for adults, built-in lyrics display and screen, 2 self-charging wireless microphones, karaoke app, 140w speaker, connects to tv for home party birthday outdoor camping","19","51","1130","93","8.23","34","66.67","27","79.41","223.99","223.99","1","7","5","23","45.1","20","86.96","223.99","223.99","1","5","4","14","27.45","14","100.0","223.99","223.99","1","2","3","2025-12-31"
"highest rated karaoke machine","93","1325","32801","1974","6.02","449","33.89","21","4.68","116.99","223.99","43","80","101","70","5.28","2","2.86","69.99","223.99","12","13","20","18","1.36","1","5.56","89.99","223.99","7","2","5","2025-12-31"
"200 dollar gifts","48","15499","335498","3111","0.93","1654","10.67","30","1.81","167.88","223.99","69","268","382","249","1.61","9","3.61","159.98","223.99","9","59","65","30","0.19","1","3.33","159.99","223.99","2","6","8","2025-12-31"
"ikarao break x2","68","1364","35290","1476","4.18","632","46.33","23","3.64","332.49","234.14","20","87","162","126","9.24","4","3.17","332.49","223.99","7","22","36","63","4.62","3","4.76","332.49","223.99","3","16","18","2025-12-31"
"kareokee machine with bluetooth and wireless microphone for adults","13","28610","659193","16071","2.44","10791","37.72","170","1.58","62.98","223.99","838","1997","2451","3313","11.58","24","0.72","59.99","223.99","304","701","787","980","3.43","9","0.92","59.99","223.99","107","220","238","2025-12-31"
"portable karaoke","22","6060","149073","5413","3.63","2379","39.26","74","3.11","29.99","223.99","211","501","532","688","11.35","13","1.89","26.99","223.99","59","187","156","230","3.8","4","1.74","26.99","223.99","21","75","57","2025-12-31"
"ikarao smart karaoke machine for adults","26","760","24081","1255","5.21","336","44.21","60","17.86","299.0","223.99","19","44","62","98","12.89","18","18.37","299.0","223.99","6","15","21","41","5.39","6","14.63","332.49","223.99","2","9","8","2025-12-31"
"200 dollar gift ideas","37","22561","602823","5127","0.85","2484","11.01","36","1.45","149.99","223.99","141","361","500","397","1.76","5","1.26","139.99","223.99","33","66","84","60","0.27","1","1.67","139.99","223.99","11","18","10","2025-12-31"
"ikarao","6","5423","145830","9179","6.29","2562","47.24","666","26.0","265.96","223.99","83","275","506","382","7.04","102","26.7","265.96","223.99","18","41","94","113","2.08","30","26.55","265.97","223.99","8","20","31","2025-12-31"
"karaoke systems","30","5286","128915","3765","2.92","1569","29.68","43","2.74","74.99","223.99","77","276","339","412","7.79","13","3.16","63.99","223.99","27","84","101","95","1.8","2","2.11","59.99","223.99","2","24","28","2025-12-31"
"karoke","32","5909","151739","5115","3.37","2072","35.07","52","2.51","49.99","223.99","175","394","509","680","11.51","8","1.18","33.99","223.99","55","142","181","210","3.55","1","0.48","30.99","223.99","19","62","47","2025-12-31"
"karaoke system","21","10596","293769","8965","3.05","3166","29.88","54","1.71","123.48","223.99","153","468","637","393","3.71","6","1.53","101.96","223.99","23","59","92","93","0.88","3","3.23","99.99","223.99","9","21","26","2025-12-31"
"karaoke for adults","74","2907","74472","2039","2.74","1028","35.36","19","1.85","59.99","223.99","66","229","249","251","8.63","4","1.59","56.09","223.99","13","70","54","61","2.1","2","3.28","56.99","223.99","5","22","12","2025-12-31"
"high end karaoke machine","66","1337","34187","1991","5.82","328","24.53","20","6.1","223.99","223.99","22","69","84","42","3.14","3","7.14","129.99","223.99","5","8","13","15","1.12","3","20.0","223.99","223.99","3","4","3","2025-12-31"
"ikarao karaoke machine shell s1","73","205","5614","389","6.93","137","66.83","64","46.72","262.49","223.99","2","29","24","22","10.73","7","31.82","262.49","223.99","1","3","5","9","4.39","1","11.11","262.49","223.99","0","1","4","2025-12-31"
"smart karaoke machine","95","1010","27197","1385","5.09","317","31.39","28","8.83","223.99","223.99","8","53","72","58","5.74","3","5.17","199.0","223.99","0","12","9","13","1.29","1","7.69","149.99","223.99","0","3","4","2025-12-31"
"karaoke machine for tv","14","11674","301976","11055","3.66","4542","38.91","154","3.39","99.99","223.99","299","790","1121","773","6.62","21","2.72","89.99","223.99","59","139","210","205","1.76","1","0.49","89.99","223.99","20","41","57","2025-12-31"
"karaoke machine adults","64","3715","114692","2870","2.5","1283","34.54","28","2.18","62.99","223.99","97","232","292","332","8.94","4","1.2","59.99","223.99","26","74","79","106","2.85","1","0.94","59.99","223.99","8","23","32","2025-12-31"
"karaoke machine for adults","2","362350","8497378","371427","4.37","150320","41.48","3762","2.5","74.99","223.99","10335","25550","34471","41353","11.41","675","1.63","69.99","223.99","3441","7973","9712","12321","3.4","217","1.76","69.99","223.99","1289","2867","3042","2025-12-31"
"magic sing karaoke system 2025","50","4250","99533","3400","3.42","1723","40.54","31","1.8","499.0","223.99","44","167","285","198","4.66","4","2.02","449.99","223.99","3","19","41","36","0.85","2","5.56","449.99","223.99","0","1","11","2025-12-31"
"pro karaoke machine for adults","41","2311","51827","2712","5.23","1185","51.28","50","4.22","129.99","223.99","61","192","273","295","12.77","10","3.39","123.48","223.99","18","64","69","68","2.94","1","1.47","99.99","223.99","8","14","22","2025-12-31"
"kareoke","18","9373","229742","8572","3.73","3302","35.23","83","2.51","59.99","223.99","285","572","723","991","10.57","11","1.11","43.99","223.99","103","209","237","286","3.05","4","1.4","49.98","223.99","30","81","73","2025-12-31"
